Period,Birth_Death,Region,Count
2007,Births,Northland region,2322
2007,Births,Auckland region,23007
2007,Births,Waikato region,6231
2007,Births,Bay of Plenty region,4053
2007,Births,Gisborne region,801
2007,Births,Hawke's Bay region,2319
2007,Births,Taranaki region,1611
2007,Births,Manawatu-Wanganui region,3297
2007,Births,Wellington region,6876
2007,Births,Tasman region,552
2007,Births,Nelson region,639
2007,Births,Marlborough region,513
2007,Births,West Coast region,405
2007,Births,Canterbury region,7548
2007,Births,Otago region,2349
2007,Births,Southland region,1350
