Period,Birth_Death,Region,Count
2005,Births,Northland region,2067
2005,Births,Auckland region,20745
2005,Births,Waikato region,5667
2005,Births,Bay of Plenty region,3771
2005,Births,Gisborne region,777
2005,Births,Hawke's Bay region,2115
2005,Births,Taranaki region,1410
2005,Births,Manawatu-Wanganui region,3093
2005,Births,Wellington region,6225
2005,Births,Tasman region,513
2005,Births,Nelson region,519
2005,Births,Marlborough region,471
2005,Births,West Coast region,336
2005,Births,Canterbury region,6603
2005,Births,Otago region,2151
2005,Births,Southland region,1212
