Period,Birth_Death,Region,Count
2005,Births,New Zealand,57747
2006,Births,New Zealand,59193
2007,Births,New Zealand,64044
2008,Births,New Zealand,64344
2009,Births,New Zealand,62544
2010,Births,New Zealand,63897
2011,Births,New Zealand,61401
2012,Births,New Zealand,61179
2013,Births,New Zealand,58716
2014,Births,New Zealand,57243
2015,Births,New Zealand,61038
2016,Births,New Zealand,59427
2017,Births,New Zealand,59610
2018,Births,New Zealand,58020
2019,Births,New Zealand,59637
2020,Births,New Zealand,57576
