Period,Birth_Death,Region,Count
2005,Births,Northland region,2067
2005,Births,Auckland region,20745
2005,Births,Waikato region,5667
2005,Births,Bay of Plenty region,3771
2005,Births,Gisborne region,777
2005,Births,Hawke's Bay region,2115
2005,Births,Taranaki region,1410
2005,Births,Manawatu-Wanganui region,3093
2005,Births,Wellington region,6225
2005,Births,Tasman region,513
2005,Births,Nelson region,519
2005,Births,Marlborough region,471
2005,Births,West Coast region,336
2005,Births,Canterbury region,6603
2005,Births,Otago region,2151
2005,Births,Southland region,1212
2006,Births,Northland region,2244
2006,Births,Auckland region,21333
2006,Births,Waikato region,5592
2006,Births,Bay of Plenty region,3840
2006,Births,Gisborne region,720
2006,Births,Hawke's Bay region,2163
2006,Births,Taranaki region,1455
2006,Births,Manawatu-Wanganui region,3165
2006,Births,Wellington region,6441
2006,Births,Tasman region,549
2006,Births,Nelson region,522
2006,Births,Marlborough region,486
2006,Births,West Coast region,390
2006,Births,Canterbury region,6777
2006,Births,Otago region,2148
2006,Births,Southland region,1233
2007,Births,Northland region,2322
2007,Births,Auckland region,23007
2007,Births,Waikato region,6231
2007,Births,Bay of Plenty region,4053
2007,Births,Gisborne region,801
2007,Births,Hawke's Bay region,2319
2007,Births,Taranaki region,1611
2007,Births,Manawatu-Wanganui region,3297
2007,Births,Wellington region,6876
2007,Births,Tasman region,552
2007,Births,Nelson region,639
2007,Births,Marlborough region,513
2007,Births,West Coast region,405
2007,Births,Canterbury region,7548
2007,Births,Otago region,2349
2007,Births,Southland region,1350
2008,Births,Northland region,2304
2008,Births,Auckland region,23112
2008,Births,Waikato region,6423
2008,Births,Bay of Plenty region,4116
2008,Births,Gisborne region,828
2008,Births,Hawke's Bay region,2358
2008,Births,Taranaki region,1596
2008,Births,Manawatu-Wanganui region,3372
2008,Births,Wellington region,6972
2008,Births,Tasman region,558
2008,Births,Nelson region,627
2008,Births,Marlborough region,570
2008,Births,West Coast region,453
2008,Births,Canterbury region,7284
2008,Births,Otago region,2367
2008,Births,Southland region,1338
2009,Births,Northland region,2199
2009,Births,Auckland region,22605
2009,Births,Waikato region,6147
2009,Births,Bay of Plenty region,3939
2009,Births,Gisborne region,729
2009,Births,Hawke's Bay region,2352
2009,Births,Taranaki region,1587
2009,Births,Manawatu-Wanganui region,3153
2009,Births,Wellington region,6792
2009,Births,Tasman region,498
2009,Births,Nelson region,603
2009,Births,Marlborough region,552
2009,Births,West Coast region,432
2009,Births,Canterbury region,7161
2009,Births,Otago region,2352
2009,Births,Southland region,1356
2010,Births,Northland region,2397
2010,Births,Auckland region,23214
2010,Births,Waikato region,6324
2010,Births,Bay of Plenty region,3957
2010,Births,Gisborne region,783
2010,Births,Hawke's Bay region,2286
2010,Births,Taranaki region,1596
2010,Births,Manawatu-Wanganui region,3297
2010,Births,Wellington region,6771
2010,Births,Tasman region,543
2010,Births,Nelson region,603
2010,Births,Marlborough region,573
2010,Births,West Coast region,429
2010,Births,Canterbury region,7305
2010,Births,Otago region,2331
2010,Births,Southland region,1404
2011,Births,Northland region,2199
2011,Births,Auckland region,22659
2011,Births,Waikato region,5916
2011,Births,Bay of Plenty region,3951
2011,Births,Gisborne region,738
2011,Births,Hawke's Bay region,2226
2011,Births,Taranaki region,1554
2011,Births,Manawatu-Wanganui region,3171
2011,Births,Wellington region,6528
2011,Births,Tasman region,501
2011,Births,Nelson region,600
2011,Births,Marlborough region,540
2011,Births,West Coast region,432
2011,Births,Canterbury region,6693
2011,Births,Otago region,2340
2011,Births,Southland region,1332
2012,Births,Northland region,2310
2012,Births,Auckland region,22836
2012,Births,Waikato region,6051
2012,Births,Bay of Plenty region,3876
2012,Births,Gisborne region,708
2012,Births,Hawke's Bay region,2238
2012,Births,Taranaki region,1533
2012,Births,Manawatu-Wanganui region,3015
2012,Births,Wellington region,6435
2012,Births,Tasman region,477
2012,Births,Nelson region,546
2012,Births,Marlborough region,507
2012,Births,West Coast region,417
2012,Births,Canterbury region,6633
2012,Births,Otago region,2337
2012,Births,Southland region,1245
2013,Births,Northland region,2124
2013,Births,Auckland region,21825
2013,Births,Waikato region,5745
2013,Births,Bay of Plenty region,3696
2013,Births,Gisborne region,699
2013,Births,Hawke's Bay region,2160
2013,Births,Taranaki region,1503
2013,Births,Manawatu-Wanganui region,2985
2013,Births,Wellington region,6057
2013,Births,Tasman region,486
2013,Births,Nelson region,555
2013,Births,Marlborough region,504
2013,Births,West Coast region,384
2013,Births,Canterbury region,6543
2013,Births,Otago region,2235
2013,Births,Southland region,1200
2014,Births,Northland region,2049
2014,Births,Auckland region,21429
2014,Births,Waikato region,5688
2014,Births,Bay of Plenty region,3504
2014,Births,Gisborne region,651
